date,period,n_stocks,rank_ic,rank_ic_pval,pearson_ic
2025-10-29,20,714,0.11782210326152943,0.0016117424202249174,0.08630586790533001
2025-11-12,1,714,-0.1506964721904756,5.282102339279358e-05,-0.1204729164768981
2025-11-12,3,714,-0.057319403825668386,0.12596877965820982,-0.0822023580911682
2025-11-12,5,714,-0.07755495125742956,0.038282329338057225,-0.09257442598596755
2025-11-12,10,714,-0.21050279860405927,1.3572905556277602e-08,-0.19887517593373263
2025-11-12,20,714,-0.22459972558253638,1.2897839264366292e-09,-0.18767659597215214
2025-11-26,1,714,0.09987540870411486,0.007568126012027732,0.04871740248859526
2025-11-26,3,714,-0.06882324588998986,0.06606708114143144,-0.07149120413900899
2025-11-26,5,714,0.09929868243202174,0.007924866678555593,0.04892422170832671
2025-11-26,10,714,-0.23532007776286765,1.933476126661272e-10,-0.22239618975106232
2025-11-26,20,714,-0.1654153952665066,8.87438557246033e-06,-0.19081119301041427
2025-12-10,1,714,0.12109407652158023,0.001186955894988224,0.030376798747387107
2025-12-10,3,714,0.08105902436104576,0.03033182506512888,0.016134695007209356
2025-12-10,5,714,0.03309822398868456,0.37718079234667234,0.006740784060903198
2025-12-10,10,714,-0.013655840732728713,0.7156546498774958,0.0008159154832194611
2025-12-10,20,714,-0.15129214495700716,4.9294483470960545e-05,-0.08771876115216554
2025-12-24,1,714,-0.02364040818306784,0.5282553653847404,-0.12995415666926236
2025-12-24,3,714,-0.060691618250628174,0.10515072213166991,-0.13179500393356272
2025-12-24,5,714,-0.03161529285185809,0.39893995352084743,-0.14181775449848202
2025-12-24,10,714,-0.1928207631545919,2.079425375747084e-07,-0.18588258283067613
2025-12-24,20,714,-0.10500569560796183,0.00497441337422364,-0.15553422579562537
2026-01-09,1,714,-0.022700575227371456,0.5447855242749663,-0.19411069720306032
2026-01-09,3,714,0.04554831214540385,0.22414312019124896,-0.11121093226189364
2026-01-09,5,714,-0.039666145813988155,0.28984131122247125,-0.08734563942388336
2026-01-09,10,714,0.022025845126879873,0.5568089954904437,-0.054605630022855824
